,created_at,favorite_count,hashtags,latitute,longitute,retweet_count,text
1659,Tue Jan 29 02:21:25 +0000 2019,0,['CampFire'],,,0,"RT @FitzTheReporter: VIDEO: Activists read the 88 names of #CampFire's dead, in bid to shame CA public utilities commission before ""bailout…"
1660,Tue Jan 29 02:21:15 +0000 2019,0,['CampFire'],,,0,"RT @Jasamsdestiny: Update from the Diaper Bank

Here's their #CampFire website form, should you need diapers
https://t.co/OIBL2a92LG

#Camp…"
1661,Tue Jan 29 02:20:58 +0000 2019,0,['YankeeHill'],,,0,"RT @Jasamsdestiny: FREE FREE FREE Fire Survivors 
11300 A Miller Flat Rd  ⬅️
Pines Hardware / #YankeeHill Hardware
Clothes Food Water
Mon-S…"
1662,Tue Jan 29 02:20:53 +0000 2019,0,['CampFire'],,,0,"RT @planetscape: ⚡️ “#CampFire PETS Resources”

https://t.co/q4hfbGOm1Y"
1663,Tue Jan 29 02:20:07 +0000 2019,0,['Roseville'],,,0,"RT @Jasamsdestiny: Benefit Concert for Paradise Area

2/2
5pm - 10pm
Paradise Regained Rocks
800 All America City Blvd #Roseville

#CampFir…"
1664,Tue Jan 29 02:19:47 +0000 2019,0,['CampFire'],,,0,"RT @BCWildfireToday: ""WILLING TO FOSTER A PET UNTIL OWNER IS FOUND?""

FROM @ChaliceGarden's #CampFire EVACUEE RESOURCE DOCUMENT:
 https://t…"
1665,Tue Jan 29 02:19:22 +0000 2019,0,['reunited'],,,0,"RT @Jasamsdestiny: YAY!!
Captain Kitty has #reunited with his family!   It was a long &amp; arduous journey, but he's finally safe &amp; where he b…"
1666,Tue Jan 29 02:19:08 +0000 2019,0,['CampFire'],,,0,"RT @FitzTheReporter: VIDEO: Activists read the 88 names of #CampFire's dead, in bid to shame CA public utilities commission before ""bailout…"
1667,Tue Jan 29 02:17:47 +0000 2019,11,['Sutter'],,,14,"Anyone who's relocated to #Sutter County, Harley Davidson in Yuba City will store your bike free of charge.  🏍️

Co… https://t.co/XzOZaiCE48"
1668,Tue Jan 29 02:16:46 +0000 2019,0,"['CampFire', 'CampFirePets']",,,0,"RT @ChaliceGarden: 1K #CampFire families still seek their #CampFirePets, in shelters &amp; in burn zone! Butte Co is adopting them out DAILY 😢…"
1669,Tue Jan 29 02:16:23 +0000 2019,0,['CampFire'],,,0,"RT @Jasamsdestiny: Update from the Diaper Bank

Here's their #CampFire website form, should you need diapers
https://t.co/OIBL2a92LG

#Camp…"
1670,Tue Jan 29 02:15:31 +0000 2019,0,['YankeeHill'],,,0,"RT @Jasamsdestiny: FREE FREE FREE Fire Survivors 
11300 A Miller Flat Rd  ⬅️
Pines Hardware / #YankeeHill Hardware
Clothes Food Water
Mon-S…"
1671,Tue Jan 29 02:14:07 +0000 2019,0,['CampFire'],,,0,"RT @Jasamsdestiny: Update from the Diaper Bank

Here's their #CampFire website form, should you need diapers
https://t.co/OIBL2a92LG

#Camp…"
1672,Tue Jan 29 02:13:22 +0000 2019,0,['CampFire'],,,0,"RT @FitzTheReporter: VIDEO: Activists read the 88 names of #CampFire's dead, in bid to shame CA public utilities commission before ""bailout…"
1673,Tue Jan 29 02:13:19 +0000 2019,0,['reunited'],,,0,"RT @Jasamsdestiny: YAY!!
Captain Kitty has #reunited with his family!   It was a long &amp; arduous journey, but he's finally safe &amp; where he b…"
1674,Tue Jan 29 02:12:38 +0000 2019,0,"['CampFire', 'CampFirePets']",,,0,"RT @ChaliceGarden: #CampFire #CampFirePets
Our resource doc is 70 pgs (prior disasters avg 10-12)! Updated, verified. If you need something…"
1675,Tue Jan 29 02:12:22 +0000 2019,0,[],,,0,"RT @Jasamsdestiny: Another rescued beauty
This girl as a small white patch on chest
Found at 5527 Edgewood  ⬅️

Is she yours?
PM Jenni Vine…"
1676,Tue Jan 29 02:11:39 +0000 2019,0,['Paradise'],,,0,RT @Jasamsdestiny: Ladies crafters of #Paradise area?  Chico Scrapbooks are giving away more art supplies!   Those new to it...you must hav…
1677,Tue Jan 29 02:11:27 +0000 2019,0,[],,,0,"RT @TeamRubicon: Operation Update: TR volunteers will be returning to Paradise, CA to continue recovery efforts as a result of the recent #…"
1678,Tue Jan 29 02:11:10 +0000 2019,0,"['Paradise', 'furparent']",,,0,RT @Jasamsdestiny: This floofy boy is a #Paradise baby but has ended up in Colorado.  Person will gladly return it if #furparent is ID'd.…
1679,Tue Jan 29 02:10:38 +0000 2019,0,['CampFire'],,,0,"RT @Rubiconski: #CampFire @CountyofButte 

Family of 9 left in dirt parking lot w/out shelter last night

@reddogsusie @chortletown @Indigo…"
1680,Tue Jan 29 02:10:27 +0000 2019,0,['CampFire'],,,0,RT @WCKitchen: WCK’s @SamBloch1 reports from our free pop-up restaurant in Chico where we are serving those displaced by the #CampFire! #Ch…
1681,Tue Jan 29 02:09:40 +0000 2019,0,['Paradise'],,,0,"RT @Jasamsdestiny: Loving big intact male
White socks, longer in rear, white on chin, eyes &amp; chest 
Found: 1036 Maple Dr #Paradise  ⬅️

Con…"
1682,Tue Jan 29 02:09:21 +0000 2019,0,['CampFire'],,,0,"RT @Rubiconski: #CampFire

REUNITED!! Captain Kitty found his peeps! ❤️

@reddogsusie @chortletown @Indigo_Pho13 @BadBoyEM @msmorgan1968 @j…"
1683,Tue Jan 29 02:09:09 +0000 2019,0,"['reunited', 'furrytail']",,,0,"RT @Jasamsdestiny: YAY!!  Delilah is out of the burn zone &amp; is #reunited with her family!!
The hero in this #furrytail?  Cheerie Fults who…"
